blind_id,model_id,precision,item_id,mode,row_sha256,source_book,task,gemini_label,glm_label,gemini_reason,glm_reason,glm_review_reason,gemini_reasoning_support,glm_reasoning_support,both_gradable,same_label
B00001,google/gemma-4-12B-it,BF16,clinical_astra_b01_003,with_rag,7c3293a93060858ececf705bc8c2e1b752cc0219ab33fce598ce4888189be348,A Clinical Casebook of Sleep Disorders in Women.pdf,diagnosis,correct,correct,"The response accurately identifies Restless legs syndrome (RLS), perfectly matching the reference and acceptable answers.","The response directly answers 'Restless legs syndrome (RLS)' and matches all essential reference qualifiers: urge to move at evening rest, relief with movement, and supporting associations (iron deficiency, celiac disease, menstrual worsening).",,supported,supported,True,True
B00002,meta-llama/Llama-3.1-8B-Instruct,NF4,clinical_astra_b01_015,with_rag,2a9ee56993fb1b3944c1dfea4d35b37e2d5ffe2b870855c6218817fa7d5776de,A Clinical Casebook of Sleep Disorders in Women.pdf,diagnosis,correct,correct,"The response accurately identifies Sleep-Related Eating Disorder (SRED), matching the reference diagnosis and addressing the key clinical features.","Response names SRED, matching the reference, and correctly ties amnestic nocturnal eating with weight gain to the diagnosis.",,supported,supported,True,True
B00003,gemini-3.8-flash,API,clinical_astra_b05_011,with_rag,3d26eea3f726c624f3a0302a089eb460e0a85a249686230d38a68c8dc7b2a400,Sleep Medicine Pearls (Pearls Series).pdf,clinical_interpretation,correct,correct,The response accurately identifies insufficient sleep and associated delayed sleep timing/phase as the documented contributor needing correction.,"Response identifies habitual insufficient sleep with behaviorally delayed sleep timing from late-night texting as the contributor to correct before diagnosing a central hypersomnolence disorder, matching the reference and acceptable answers.",,supported,supported,True,True
B00004,meta-llama/Llama-3.2-1B-Instruct,NF4,clinical_astra_b02_003,with_rag,16e8a7a984f4b2a90404d1a0351a63df8d85151878fb99139e83c918e9a8ed10,"Atlas of Sleep Medicine, 3rd Edition.pdf",clinical_interpretation,incorrect,invalid_judge_output,The response incorrectly identifies the pattern as characteristic of 'Brief Sleepwalker Syndrome' or 'Confusional Arousal' rather than hypnagogic foot tremor.,,,material_unsupported,not_assessable,False,False
B00006,google/gemma-3-27b-it,NF4,clinical_astra_b03_008,with_rag,e83f7112e4a550ca2d9987c4ede278b2b1ef56348118d62686467a59c9d88802,Common Pitfalls in Sleep Medicine.pdf,diagnostic_evaluation,correct,correct,"The response correctly identifies that another objective sleep recording is not required to clinically diagnose insomnia, relying instead on clinical history and daytime impairment.","The response directly answers that no further objective recording is needed, matching the reference that insomnia is diagnosed clinically from history, distress, and daytime impairment with testing reserved for differentials.",,supported,supported,True,True
B00007,google/gemma-4-12B-it,NF4,clinical_astra_b02_009,no_rag,77a0bf8cf1559359e72db9a6aa9ffa05faa7bedf1406b2f9b0257ffcc7902038,"Atlas of Sleep Medicine, 3rd Edition.pdf",diagnosis,incorrect,incorrect,"The response identifies a generic or non-specific term ('sleep-related muscle convulsive movements' / 'sleep myoclonus') instead of the specific movement disorder described, faciomandibular myoclonus.","The reference answer is faciomandibular myoclonus; the response gives a generic 'sleep myoclonus' label and does not name the specific entity, and its added claim that NREM jerks are 'characteristic' of that label is unsupported.",The correct diagnosis is well-defined by the reference; no unresolved ambiguity requires review.,material_unsupported,minor_unsupported,True,True
B00008,gemini-3.8-flash,API,clinical_astra_b03_008,no_rag,a4512c315bcff3e8793f7dc940ebbad3fa498c4bdbff742a9a13d63a3d012b38,Common Pitfalls in Sleep Medicine.pdf,diagnostic_evaluation,correct,correct,"The response directly answers 'No' and correctly explains that insomnia is a clinical diagnosis based on history and daytime impairment, with objective studies reserved to exclude other disorders.",The response directly answers no and correctly states insomnia is a clinical diagnosis with objective testing reserved for excluding differentials already ruled out here.,,supported,supported,True,True
B00010,Qwen/Qwen3.8-27B,NF4,clinical_astra_b05_004,no_rag,4cf706d6c0954985c2cd06dfff25b8b6a073cf3625424e00341b3bacb853eba1,Sleep Medicine Pearls (Pearls Series).pdf,clinical_interpretation,correct,correct,The response accurately identifies opioids as the medication class responsible for the described sleep-disordered breathing pattern.,"The response directly names opioids as the medication class and explains the characteristic bradypnea, ataxic/irregular breathing and central apneas, matching the reference.",No unresolved concerns; answer aligns with the reference and contains no invented patient-specific or unsafe claims.,supported,supported,True,True
B00012,google/gemma-3-27b-it,NF4,clinical_astra_b02_004,no_rag,784f6c3beb2f3db00124df77a4891420ed87698b311274dc81182700c0544332,"Atlas of Sleep Medicine, 3rd Edition.pdf",clinical_interpretation,incorrect,incorrect,"The response identifies the motor pattern as Periodic Limb Movement Disorder (PLMD) instead of Alternating Limb Muscle Activation (ALMA), which specifically refers to brief alternating EMG bursts at 0.5-3.0 Hz (here 1.5-2 Hz).","The reference and accepted answer identify the pattern as Alternating Limb Muscle Activation (ALMA), defined by rapid leg-to-leg alternation at ~0.5-2 Hz during NREM sleep; the response instead answers PLMD, which does not fit the 1.5-2 Hz alternating pattern.",The candidate key is clear (ALMA) and the response's alternative (PLMD) is resolvable against it; no ambiguity requires review.,material_unsupported,material_unsupported,True,True
B00013,gemini-3.8-flash,API,clinical_astra_b05_014,no_rag,98d2c16bf94b5b04c075d5398e4b4533c5d955ddec0c65ce5c0adabca302c0bd,Sleep Medicine Pearls (Pearls Series).pdf,suspected_diagnosis,correct,correct,"The response accurately identifies medication-induced sleep-related eating disorder (SRED), matching the candidate reference.","The response identifies medication-induced sleep-related eating disorder (SRED), matching the reference answer, with amnesia, unusual foods, weight gain, and hypnotic onset aligning with the vignette.",,supported,supported,True,True
B00014,Qwen/Qwen3.8-27B,NF4,clinical_astra_b06_010,with_rag,7d2261261a688e08c94eb00aaf89310b1d325b53b8c014b5b2cdc28c969bef30,Sleepless and Sleepy _ 50 Challenging Sleep Medicine Cases.pdf,diagnosis,correct,correct,"The response accurately identifies Kleine-Levin Syndrome as the most likely diagnosis, matching the reference and acceptable answers.","The response names Kleine-Levin syndrome and matches all essential features: recurrent profound hypersomnia with hyperphagia, behavioral disturbance, and normal inter-episode function.",,supported,supported,True,True
B00015,google/gemma-3-27b-it,NF4,clinical_astra_b06_012,with_rag,65450d39e7b75515b7e4e012223b92af3794d88d54005e9aa5e2f031100e41f1,Sleepless and Sleepy _ 50 Challenging Sleep Medicine Cases.pdf,diagnosis,partial,partial,"The response identifies hypoventilation and mentions neuromuscular weakness, but misclassifies the disorder specifically as 'central hypoventilation' and attributes it to brainstem drive failure rather than primarily neuromuscular weakness.","The response correctly identifies sleep-related hypoventilation in the setting of Pompe respiratory muscle weakness, but labels it 'central hypoventilation,' a different qualifier than the reference's neuromuscular/diaphragmatic-weakness mechanism, making the answer partly mismatched.","The core finding of sleep-related hypoventilation is resolvable against the reference; only the mechanistic qualifier is off, so no human review flag is needed.",minor_unsupported,minor_unsupported,True,True
B00017,Qwen/Qwen3.8-27B,NF4,clinical_astra_b04_005,with_rag,856ee14bc16408982a6f0f6516dccedccdc096c756a42b1b9f97fa2bb9eadb34,Sleep Medicine (Oxford Case Histories).pdf,diagnosis,correct,correct,The response accurately identifies the combination of OSA and COPD (overlap syndrome) and explains the associated hypoventilation/hypercapnia.,Identifies the COPD-OSA overlap syndrome and its explanation explicitly accounts for the hypoventilation component via daytime hypercapnia (chronic hypercapnic respiratory failure) despite CPAP-controlled obstructive events.,"Answer matches the reference qualifiers; hypercapnia explanation is a supported general inference, not an invented case fact.",supported,supported,True,True
B00018,google/gemma-4-12B-it,BF16,clinical_astra_b01_004,no_rag,c7b7e25f7ef54b283f6fa89f466bf0e5eac61e33c63bc31a1978c72a4498a382,A Clinical Casebook of Sleep Disorders in Women.pdf,diagnosis,correct,correct,"The response accurately identifies sleep fragmentation as the principal sleep-related issue driving the patient's symptoms, matching the reference.","The response identifies sleep fragmentation from postpartum sleep disruption, matching the reference's key explanation, with actigraphy support and prior tolerance of short consolidated sleep correctly contextualized.",No safety or reference-resolution concern; the claim that 4.5–5 hours is near-normal is a minor unsupported characterization that does not change the primary answer.,supported,minor_unsupported,True,True
B00019,google/gemma-3-12b-it,BF16,clinical_astra_b03_002,with_rag,12475aae532273001e73832e369e5b713c5419a50f32d2715434e5a4aa0370c5,Common Pitfalls in Sleep Medicine.pdf,diagnosis,incorrect,incorrect,"The response incorrectly diagnoses Narcolepsy Type 2 instead of Narcolepsy Type 1, misclassifying classic cataplexy (sudden weakness with laughter) as consistent with NT2.","The response asserts NT2 while explicitly acknowledging cataplexy (sudden weakness with laughter), which by definition indicates narcolepsy type 1; the answer directly contradicts the reference and its own reasoning.",Reference clearly supports NT1 given cataplexy and MSLT findings; no ambiguity requiring review.,material_unsupported,material_unsupported,True,True
B00020,google/gemma-4-12B-it,BF16,clinical_astra_b04_005,no_rag,a6844f87e3ee266319d581ba0ce9264db0dd7ab9fa85b712c5de3b7c82c6dc8b,Sleep Medicine (Oxford Case Histories).pdf,diagnosis,partial,invalid_judge_output,"The response identifies COPD and hypoventilation, but labels it as Obesity Hypoventilation Syndrome (OHS) without any BMI or obesity data provided, missing the established terminology of COPD-OSA overlap syndrome with hypercapnic respiratory failure/hypoventilation.",,,minor_unsupported,not_assessable,False,False
B00021,google/gemma-4-12B-it,NF4,clinical_astra_b06_012,no_rag,46e173575df2df8be16f0735d704a9e9f9c9d36b2b4f5b6a85122e9a3ed4b71d,Sleepless and Sleepy _ 50 Challenging Sleep Medicine Cases.pdf,diagnosis,correct,correct,The response correctly identifies hypoventilation/hypercapnic respiratory failure due to respiratory muscle weakness in Pompe disease as the underlying ventilatory disorder.,"The response identifies hypoventilation as the additional disorder, matching the acceptable answer, and attributes it to respiratory muscle weakness in Pompe disease consistent with the reference rationale.",,supported,supported,True,True
B00022,google/gemma-4-12B-it,NF4,clinical_astra_b06_014,with_rag,62c103e7ddb4c34e59682f2b40342c1f2252503882a0ff7fbe2dd21b549ed153,Sleepless and Sleepy _ 50 Challenging Sleep Medicine Cases.pdf,diagnostic_evaluation,correct,correct,"The response accurately identifies that clarification is needed on whether the leg sensations are relieved by movement, matching the reference key.","The response directly identifies whether leg movement relieves the discomfort as the symptom relationship needing clarification, matching the reference answer.",Answer aligns with the reference; no unresolved concerns.,supported,supported,True,True
